Node,X,Y,Z,S11,S22,S33,S12,S13,S23,ElementContributions
4813,0.0,-0.0,0.0,-8718352.0,9541294.0,10913345.0,-277198.875,437667.15625,153038.296875,8
13497,0.00125,-0.0,0.0,-8272379.375,9211179.0,10558706.75,-272325.109375,400206.796875,139939.6015625,4
4822,0.0025,-0.0,0.0,-8657774.625,7912668.0625,9199900.875,-259903.34375,370666.546875,129610.3232421875,8
13529,0.00375,-0.0,0.0,-7691039.75,6559272.25,7708849.5,-234313.08203125,266485.1796875,93181.40625,4
1477,0.005,-0.0,0.0,-6864719.8125,4411770.5,5310497.875,-194906.25390625,168927.244140625,59068.491943359375,8
6722,0.00625,-0.0,0.0,-6305425.0,2293152.5,2948180.625,-152436.05859375,59346.65362548828,20751.63916015625,4
3913,0.0075,-0.0,0.0,-5443020.625,1181265.21875,1579173.984375,-106628.375,-17680.10546875,-6182.171875,8
6742,0.00875,-0.0,0.0,-6150508.25,166585.125,361194.8828125,-67456.8046875,-29463.0244140625,-10302.284057617188,4
3916,0.01,-0.0,0.0,-6339808.5,-197652.611328125,-138078.478515625,-40529.9296875,-31381.678871154785,-10973.175537109375,8
6756,0.01125,-0.0,0.0,-6801342.0,-244713.78515625,-236503.171875,-23372.7412109375,-32363.126953125,-11316.35791015625,4
3919,0.0125,-0.0,0.0,-7109799.25,-200514.0703125,-213000.375,-11962.17919921875,-31785.9130859375,-11114.52417755127,8
6770,0.01375,-0.0,0.0,-7233122.25,-126591.681640625,-144218.27734375,-6083.1943359375,-28527.73046875,-9975.2412109375,4
3922,0.015,-0.0,0.0,-7382958.125,-99274.8994140625,-115605.3623046875,-2466.5,-27477.41357421875,-9607.979187011719,8
6784,0.01625,-0.0,0.0,-7388296.75,-45315.7958984375,-57560.0458984375,-705.6431121826172,-26479.8193359375,-9259.15185546875,4
3925,0.0175,-0.0,0.0,-7436826.5625,-29430.498779296875,-37155.412841796875,268.84486389160156,-26608.9521484375,-9304.3056640625,8
6798,0.01875,-0.0,0.0,-7433314.75,-11453.34765625,-16274.696533203125,582.7377777099609,-25789.6962890625,-9017.83740234375,4
3928,0.02,-0.0,0.0,-7444171.9375,-6813.9920654296875,-9336.051940917969,678.6155242919922,-26290.6904296875,-9193.01953125,8
6812,0.02125,-0.0,0.0,-7440243.25,-1688.1840209960938,-2979.249755859375,618.243408203125,-25613.5,-8956.2275390625,4
3931,0.0225,-0.0,0.0,-7441323.125,-574.389778137207,-1045.3932876586914,522.6205596923828,-26211.796875,-9165.43310546875,8
6826,0.02375,-0.0,0.0,-7439875.0,208.5210418701172,87.94756126403809,410.0729675292969,-25554.3056640625,-8935.529296875,4
3934,0.025,-0.0,0.0,-7439335.25,313.3265266418457,374.6521453857422,309.6454849243164,-26187.1943359375,-9156.83056640625,8
6840,0.02625,-0.0,0.0,-7438869.375,267.91284942626953,374.05150604248047,226.89390182495117,-25541.1015625,-8930.912109375,4
3937,0.0275,-0.0,0.0,-7438470.4375,226.63174438476562,331.0843391418457,160.97136688232422,-26181.822265625,-9154.95166015625,8
6854,0.02875,-0.0,0.0,-7438381.25,117.8767204284668,201.17351531982422,112.72879028320312,-25537.4150390625,-8929.62255859375,4
3940,0.03,-0.0,0.0,-7438217.875,86.67603015899658,143.51392459869385,76.35362815856934,-26180.57275390625,-9154.5146484375,8
6868,0.03125,-0.0,0.0,-7438213.5,35.562010765075684,72.82474136352539,51.564361572265625,-25536.8310546875,-8929.4189453125,4
3943,0.0325,-0.0,0.0,-7438165.5,24.0626003742218,44.97551918029785,33.544989585876465,-26180.41015625,-9154.4580078125,8
6882,0.03375,-0.0,0.0,-7438173.0,7.34035849571228,18.995408058166504,21.885094165802002,-25536.71875,-8929.37939453125,4
3946,0.035,-0.0,0.0,-7438163.5,4.373126685619354,9.5270756483078,13.659189462661743,-26180.39892578125,-9154.4541015625,8
6896,0.03625,-0.0,0.0,-7438168.0,0.5794373750686646,2.6755404472351074,8.578012704849243,-25536.7236328125,-8929.380859375,4
3949,0.0375,-0.0,0.0,-7438167.75,0.10786115098744631,0.41780985705554485,5.094522595405579,-26180.40771484375,-9154.45703125,8
6910,0.03875,-0.0,0.0,-7438169.5,-0.31015531718730927,-0.6196826100349426,3.0430540442466736,-25536.7275390625,-8929.3828125,4
3952,0.04,-0.0,0.0,-7438170.25,-0.3131628893315792,-0.8324761539697647,1.6809501945972443,-26180.412109375,-9154.45849609375,8
6924,0.04125,-0.0,0.0,-7438170.5,-0.1796039342880249,-0.6613850444555283,0.9241408258676529,-25536.73046875,-8929.38330078125,4
